カテゴリ名,カテゴリ名（フル）,カテゴリID
エコバッグ,レディース > バッグ > エコバッグ,bKdBFSbJ8dhWbdxuYvYyfe
リュック/バックパック,レディース > バッグ > リュック/バックパック,jU7iBHkHhvivQkSSyLx68N
ボストンバッグ,レディース > バッグ > ボストンバッグ,Tw4Rw75rvHhfJGegaULivQ
スポーツバッグ,レディース > バッグ > スポーツバッグ,sHWsR9HVnDxz6ibPcjGtki
ショルダーバッグ,レディース > バッグ > ショルダーバッグ,t2a4VJtr294w6hf4ssWHJA
クラッチバッグ,レディース > バッグ > クラッチバッグ,fJGVmRT9PTsZJHLLTTHtRa
ポーチ/バニティ,レディース > バッグ > ポーチ/バニティ,5CjBMfCto6RgvgdZHAErc
ボディバッグ/ウェストバッグ,レディース > バッグ > ボディバッグ/ウェストバッグ,TaVRc3TpFWBxmVAuzZSabW
マザーズバッグ,レディース > バッグ > マザーズバッグ,APZkgFoE6W9ufKbs72cCF6
メッセンジャーバッグ,レディース > バッグ > メッセンジャーバッグ,YDPQm2TpmjkvahKba5o5Bd
ビジネスバッグ,レディース > バッグ > ビジネスバッグ,5zVA9zZNfLARWGuytusCs6
旅行用バッグ/キャリーバッグ,レディース > バッグ > 旅行用バッグ/キャリーバッグ,5iWsn24UMbPf3MMMYBLhyT
ショップ袋,レディース > バッグ > ショップ袋,VpHcm8kTDaHaxztGpdGqEf
和装用バッグ,レディース > バッグ > 和装用バッグ,CUDoKNkRcQTRnfAq8Uq67Z
かごバッグ,レディース > バッグ > かごバッグ,PAUbqak9ykwBG3sdasdSjP
その他,レディース > バッグ > その他,vxJ86yjw8vgupKaBL8Wk9G
ネックレス,レディース > アクセサリー > ネックレス,zvtWqSXCz3wcfJXhXMMzpH
ブレスレット,レディース > アクセサリー > ブレスレット,5QS8Xn9piX5nmMA7VyKyx4
バングル/リストバンド,レディース > アクセサリー > バングル/リストバンド,Jnmu2XD9dwYHTMtpoNSqEb
リング,レディース > アクセサリー > リング,YQNr6CjTGBAtfKLqsP5J8Q
ピアス(片耳用),レディース > アクセサリー > ピアス(片耳用),2sxitDNNo6c5WcTR7Qc3JS
ピアス(両耳用),レディース > アクセサリー > ピアス(両耳用),fqTdii4H6KBMFE3txm79TR
イヤリング,レディース > アクセサリー > イヤリング,iiexMGKaaBzWsADe4xgjxH
アンクレット,レディース > アクセサリー > アンクレット,cE8tjjssKCJVJKc3H6KU6N
ブローチ/コサージュ,レディース > アクセサリー > ブローチ/コサージュ,TXig4DaBUxndgJSg65NXTM
チャーム,レディース > アクセサリー > チャーム,7fqkgKDeiSYQZgKn9R5RgM
その他,レディース > アクセサリー > その他,49C9bCVWohpRLNQ6ouUQJd
ヘアゴム/シュシュ,レディース > ヘアアクセサリー > ヘアゴム/シュシュ,ZjWUWTQfRTfkJLiG9gJvAm
ヘアバンド/カチューシャ,レディース > ヘアアクセサリー > ヘアバンド/カチューシャ,ZwJhbesg2XRYz5mFv84Z7B
ヘアピン,レディース > ヘアアクセサリー > ヘアピン,5Qr5iSSKnWnFZcVppAZHu8
その他,レディース > ヘアアクセサリー > その他,ANYZa34jaQnaxfm5CtPBkF
長財布,レディース > 小物 > 長財布,bLy6HMnzajF2nATYKiVF5m
折り財布,レディース > 小物 > 折り財布,TAUHzyom8C63PVkLihe5tP
コインケース/小銭入れ,レディース > 小物 > コインケース/小銭入れ,ZfznM4zikKTZESzT4Jn8D8
名刺入れ/定期入れ,レディース > 小物 > 名刺入れ/定期入れ,892aBpiVu4bUSYtdE7VX48
キーケース,レディース > 小物 > キーケース,tvhEEgixYHYPPeec6yyj54
キーホルダー,レディース > 小物 > キーホルダー,DSRexzWpDYdbyDv5kAYcr9
手袋/アームカバー,レディース > 小物 > 手袋/アームカバー,TycFdgNYRbDvpk2UQBgk7f
ハンカチ,レディース > 小物 > ハンカチ,AUwMPe3FTPVJCNworF44FJ
ベルト,レディース > 小物 > ベルト,UFxz2PyiwDvyaxLcEvk5Tg
マフラー/ショール,レディース > 小物 > マフラー/ショール,ihbZJ7Aa7edwbS6hFMmjFS
ストール/スヌード,レディース > 小物 > ストール/スヌード,r5bbz7EHZVFnXwG2Ko4PNo
バンダナ/スカーフ,レディース > 小物 > バンダナ/スカーフ,rwG7wffVQtcjYCbPFRCScD
ネックウォーマー,レディース > 小物 > ネックウォーマー,ZTfaBQ4Md766PVJvansVDd
サスペンダー,レディース > 小物 > サスペンダー,FDy39gF4REViXy6r85GowY
サングラス/メガネ,レディース > 小物 > サングラス/メガネ,o75WnQzLPpH6xNaHD5PZdT
モバイルケース/カバー,レディース > 小物 > モバイルケース/カバー,j6t8qVq4DANMujZNiQPjGj
手帳,レディース > 小物 > 手帳,LND2oXuAfEmeA3eNcMUg9T
イヤマフラー,レディース > 小物 > イヤマフラー,6dnTDKHUUfzuknaxnPTzyR
傘,レディース > 小物 > 傘,w2T8vUbBwGJ8nvoDrVSsfW
